Customer ID,TotalSpend,AvgSpend,NumPurchases,TotalQty,Recency,CustomerAge,Returns,Gender,Cluster,HighValue
44605,3336,667.2,5,12,132,31,4.0,1,1,1
13738,2583,861.0,3,12,216,27,2.0,1,0,0
33969,4210,701.6666666666666,6,13,56,27,2.0,0,1,1
42650,3376,306.90909090909093,11,29,136,20,7.0,1,1,1
24053,2737,547.4,5,13,371,53,3.0,0,1,1
19676,3290,822.5,4,13,440,57,3.0,0,0,0
16051,4264,533.0,8,21,512,45,3.0,0,1,1
23734,1628,407.0,4,11,356,18,2.0,0,0,0
16921,2558,426.3333333333333,6,13,232,54,5.0,0,1,1
7796,2473,618.25,4,11,326,21,2.0,0,0,0
21035,3819,545.5714285714286,7,15,4,50,4.0,1,1,1
37125,1254,627.0,2,6,287,24,0.0,1,0,0
41840,5392,674.0,8,24,362,48,2.0,0,1,1
2642,1868,373.6,5,15,544,67,2.0,1,0,0
1254,2541,1270.5,2,6,29,70,1.0,0,0,0
13389,5482,783.1428571428571,7,20,103,51,5.0,0,1,1
24473,3881,776.2,5,14,113,38,3.0,1,1,1
11230,3088,617.6,5,15,660,23,2.0,0,0,0
24741,1787,446.75,4,11,417,50,2.0,1,0,0
10191,7394,821.5555555555555,9,27,366,66,5.0,0,1,1
6829,1735,433.75,4,10,1093,43,2.0,0,0,0
16825,3632,726.4,5,12,179,37,2.0,0,1,1
18467,7011,876.375,8,31,127,23,3.0,0,1,1
34857,3856,550.8571428571429,7,20,91,57,1.0,0,1,1
21801,2899,966.3333333333334,3,12,374,19,1.0,1,0,0
11769,924,924.0,1,4,165,65,0.0,0,0,0
22193,4163,832.6,5,18,245,27,1.0,0,1,1
7340,2633,658.25,4,12,283,35,1.0,0,0,0
31538,7534,1076.2857142857142,7,22,148,37,3.0,0,1,1
33511,4724,787.3333333333334,6,18,62,56,3.0,0,1,1
5952,1789,447.25,4,11,217,55,2.0,0,0,0
48449,1844,368.8,5,11,604,31,4.0,0,0,0
17203,5442,1088.4,5,16,34,62,2.0,0,1,1
2695,7120,1017.1428571428571,7,27,27,45,4.0,1,1,1
15079,3209,802.25,4,13,800,24,3.0,0,0,0
21450,4127,687.8333333333334,6,19,91,39,3.0,1,1,1
11738,1604,401.0,4,11,7,64,2.0,0,0,0
15595,8674,1239.142857142857,7,25,340,40,2.0,0,1,1
44311,6010,858.5714285714286,7,21,184,49,2.0,1,1,1
31852,2982,994.0,3,8,410,70,3.0,0,0,0
46881,2552,510.4,5,13,354,40,3.0,0,0,0
14652,10063,1006.3,10,31,363,31,6.0,1,1,1
835,1416,708.0,2,4,227,59,1.0,0,0,0
26275,2192,730.6666666666666,3,7,224,64,1.0,1,0,0
37795,2258,564.5,4,12,228,62,3.0,0,0,0
4553,2700,1350.0,2,10,211,19,0.0,1,0,0
6656,4952,825.3333333333334,6,18,8,19,3.0,1,1,1
45727,5652,942.0,6,22,127,61,2.0,1,1,1
5243,4132,826.4,5,15,99,70,2.0,0,1,1
